"","taxa_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","PC1"
"2335","9f65dbb8425bfa4cb329b926572d8cec","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 2",NA,-0.00872817066921798
"795","35fb9c7f3605b85ecfb292c941ad4ca3","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales",NA,NA,NA,-0.00872813225745603
"1898","82cff18145e29bf7e14b83cb538926ba","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.00872760268289831
"3026","ce445af392e4eb1cdfc885d4029b3b4b","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-014",NA,-0.00872713616588653
"1126","4db8944d70bfa78b5d2206885d40a4f3","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-013",NA,-0.00872712460464167
"1755","793a540dba1efe5248e02637d0b793d0","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA,-0.00872655491707737
"2619","b1fffc324cfa34421f79121c0fd7ad7c","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA,-0.00872583832089986
"3276","e0d6c443ba77ada4101e6bfae40bb36e","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41","RFP12",NA,NA,-0.00872313760241223
"1544","6c14fdd33835b0cd1c0a248be4610bfb","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Shuttleworthia",NA,-0.00872141320501555
"2205","96aeb8232b3f03ffae37fe32e400d482","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,-0.0087212629302587
"1770","799e2099873060615ab9c8abff13b076","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-001",NA,-0.00872052894496549
"1607","6fea23426d8f0a4961d64f0f546b4c3a","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,-0.00871971249694719
"2686","b5fce814c4dbef827fa7d91f7c4ee72f","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","p-251-o5",NA,NA,-0.00871951500478384
"2932","c7e39256c324e50c19b7187d3e292474","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41","RFP12",NA,NA,-0.00871545812857023
"2649","b3e52c5fca1b3f9c8bc4db5d558a6ce1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-010",NA,-0.00871481413896815
"3721","fc7fa4a01a592b313ad5ad5fb1c38300","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales",NA,NA,NA,-0.00870945878700956
"1312","5d08025c92f25aeda38752276aa911bb","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-014",NA,-0.00870780765359748
"3443","eaa05eac906682f170170c6995dcb7aa","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium",NA,-0.00870531571295226
"395","1a8ef579ba324dfa22ab3a7d4a5e967b","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-014",NA,-0.00870188523192237
"2070","8e5568de86f4e8525747184fc76bb211","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema 2",NA,-0.00869944733467445
"3235","de5a0fae0fc951b6d7cfb1f063b76fe4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","p-251-o5",NA,NA,-0.00869921009873821
"479","1f9e6a351c6e53ac9d1b0a149f99ba71","Bacteria","Spirochaetes","MVP-15",NA,NA,NA,NA,-0.00869785410555519
"2944","c90bc1058bda4a8b8689be76b6aba12a","Bacteria","Firmicutes","Clostridia","Clostridiales","Family XIII","Anaerovorax",NA,-0.00869763422955683
"1601","6f793281637182d17ca406d4987d6c33","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 1","Clostridium chartatabidum",-0.00869498413940238
"3102","d3e8e47e2649a58184f52641a4f8163d","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema 2",NA,-0.00869111812998654
"611","28d84cf036d9b2d5ad6ba241b80f5516","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales vadinBB60 group",NA,NA,-0.00869109433603218
"3234","de3b2ac83cd790921fdd05fe72a5115f","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","p-251-o5",NA,NA,-0.00869017440901596
"3625","f65fba32cce9858a95fb9c6678a9f338","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium",NA,-0.00868924160603496
"3552","f1112af4aa3175a9dda34a81c5e18d59","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 9",NA,-0.00868860188728547
"2361","a1811cf2e62ee83982a47d9a09808281","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 1",NA,-0.00868689643090674
"2110","90b63c3babd03f3135b6aab8d13aec61","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA,-0.00868583025815849
"3411","e908a386dce06d78d914c462713a08a5","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,-0.00868417933847461
"2519","ac60cfc1a5457ea317efb081e4baed7d","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","p-251-o5",NA,NA,-0.00868167534048701
"3023","ce2c986275425cbf04ebfc5299cf3eb3","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter","Fibrobacter sp. UWH9",-0.00868141457290822
"280","12e780a299174146d0e6180123d89de7","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","p-251-o5",NA,NA,-0.00867940388550317
"1228","5600334a89ec909921ff0c499540ec25","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.00867558249611054
"3091","d313beaad9d3dcf784f61246b3ad6d5c","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA,-0.00867326768638174
"2669","b5862a7703615a7ab32023c93634e0d9","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema 2",NA,-0.00867245390534848
"950","40c2de2db873c46e2d117fd12826ff12","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium",NA,-0.0086721220098066
"1136","4e9bcc7814cd2566e9107494ea74b81e","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium",NA,-0.00866564912546946
"3259","df987e3eb8193c717715041cbcde4cc2","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,-0.00866511961994268
"1774","79fb43d05bce56787431a6d400087b88","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum",NA,-0.00866247797728813
"2362","a1a1b219e5bff242fe82eeeb65c909cf","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41","RFP12",NA,NA,-0.00865986604948708
"2962","ca4f3cfe50a83cbeca9c70dd49beb60e","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum",NA,-0.00865968235129736
"3619","f5c911ff6de6701e281c14b8475ab4e4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA,-0.00865701662182543
"1585","6e447eafb23a79e7f121a65922dd4626","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",NA,-0.00865645509560022
"3176","d9c2a0f3feb495182231b5ebeb4922cc","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-005",NA,-0.00865404558557904
"1491","69315b62e5359ad6064f4fa502419ac8","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium",NA,-0.00865396816943506
"3516","eeecb28bb9ceab4779894fd27be24551","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales",NA,NA,NA,-0.0086533042730273
"3120","d52d75c92a8cd4da076aff6469352109","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus 2",NA,-0.00865292247639972
"1095","4be195628974a6d73c4b27d5933aac3a","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA,-0.00865292017875918
"3525","ef9b6ffd9adf57527a0472b0a347b29d","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales vadinBB60 group",NA,NA,-0.00865221348317259
"2141","92f2eb54128bdb8e1cd5920115a9f3a4","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales",NA,NA,NA,-0.00865075506356369
"3014","cdb342c944331ec22f33554d9f9e0cb1","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales vadinBB60 group",NA,NA,-0.00865053633906794
"2535","ad2814b809b07a76231943e13282fcd0","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 9",NA,-0.00864986107930547
"1493","6963067eff75e008c8d7a91850a477a6","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema 2",NA,-0.00864897146075557
"1458","6729bbee62c917f65f4b0e2bd8d5faae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","[Eubacterium] coprostanoligenes group",NA,-0.0086485077519533
"3367","e69a3b337f0fd42f09fcab63fd6e989d","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-005",NA,-0.00864844540341358
"3338","e4fb110fa746900c1ad8867962a81466","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41","RFP12",NA,NA,-0.00864622151065828
"3181","da5e793e61c7aba6b7b9a87514859be5","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium",NA,-0.00864065357301997
"3250","df3221b3752e661d6fe5f3ffd6624c8e","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema 2",NA,-0.00864057386341879
"1233","56d111ef9c4687222ca57e2ddadd0ca4","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,-0.00864055888885757
"1442","65b2cfa743269b357bf67f2f47188519","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae NK4A214 group",NA,-0.00863924483196171
"1915","842e3206af52b8daaff505b4a5cfd942","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","p-251-o5",NA,NA,-0.00863259548852317
"1685","74e5698e5f63726d54bfc6ed384d9da7","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","p-251-o5",NA,NA,-0.00863253084610282
"399","1abf02f601dfe63fa40d7df2dcbbdee9","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 9",NA,-0.00863008744696988
"3361","e66b55f4ee9212e16399f716c728a0a3","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila",NA,-0.00863003020292283
"2038","8c56634d40aff6a3ab86e7fdc7a71583","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales",NA,NA,NA,-0.00862907632465114
"2374","a232de9323ee98b3fe51504ff168650b","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA,-0.00862896902766851
"209","0e192158fbe990aeaa77c15cc685a923","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","Elusimicrobium",NA,-0.00862744113934798
"640","2b2515f39d10e912f82d5b94ba0dec1d","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.00862723689165284
"2804","bf3c6d05bba921d8c74390391fcb35b0","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Papillibacter",NA,-0.00862629596627001
"3545","f0ad2313b95f0cf7fceec14b5c2edf38","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-010",NA,-0.00862517508469198
"3772","ff595d1084ced37baea3124b369432e0","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA,-0.00862267168560763
"96","06ace1780937cace33451aa5b3ae6b37","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum",NA,-0.00862071176522378
"2758","bb606fda76adc15267a5d3dcc0cb833e","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","dgA-11 gut group",NA,-0.00861954626128665
"1391","626ed2d2fdc08e828cda9b327988b1d3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-003",NA,-0.00861360095553088
"2217","97b27400259893dac7fb35cf34b94939","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-005",NA,-0.00861052704190854
"1538","6be0b536e018da27084e8d094317a561","Bacteria","WPS-2",NA,NA,NA,NA,NA,-0.00860968486841173
"2359","a1509ab89259dc7bcdc664a24ad00c22","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.00860220718336222
"440","1d26cf82877bebe035412047a02e6adc","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 9",NA,-0.00860175766049163
"2407","a437743c08d3d342b9e22954767ec4da","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-013",NA,-0.00859883395617749
"2914","c72a1a8fce9c4fcf3d5263de89ff4426","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema 2",NA,-0.00859492018236351
"3006","cd2ac69e4ea83780b61cbb649d223db7","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 9",NA,-0.00859134644002109
"1697","75a3a97e2e3a28d79afb82cfb0707695","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","[Eubacterium] coprostanoligenes group",NA,-0.00859104010544774
"3551","f110388fca9802be3bd3cef42230bf12","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA,-0.00859047957285886
"313","1593754366e7a7ea8ff63b45e9a1aa71","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter","Fibrobacter sp. UWH9",-0.00858280462484458
"2014","8b35ae7a6a33c441d87ec7f80e6274d1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae NK4A136 group",NA,-0.00858246583504847
"1638","71f05cebcefb99fa3e749adf684c9934","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-014",NA,-0.00857957676656653
"3071","d1cedbbc3c9d2b8a27df2a912bbf2fc8","Bacteria","WPS-2",NA,NA,NA,NA,NA,-0.00857830705123305
"2783","bd42b5a8c2de38918e75624a589d0fae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-013",NA,-0.00857747513077169
"2491","aa60af114c31ddf84a911ca6c07f9504","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 1","Clostridium perfringens",-0.00857702375322643
"2730","b94c7da1b9e27c8dd823025d280dbd37","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus 1",NA,-0.00857617959548515
"1248","581f4e868cf7f199f1e82fdb3e1443ff","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales",NA,NA,NA,-0.00857610936486157
"2691","b6823f94d87b2c1384b79b95f2a7a9ec","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","F082",NA,NA,-0.0085749731892439
"330","16424e8fae36e9163f705b27d4e9942e","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 1",NA,-0.00857472677500807
"1304","5c6cae5900ff89f5707cca592122ff9d","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-013",NA,-0.00857400276878284
"817","38151167e11d47c3045ad4191b130f73","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales vadinBB60 group",NA,NA,-0.00857278471011963
"133","0904bde38992603c8b4e3ccd75526d4f","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","GCA-900066225",NA,-0.00857020305403149
"2964","ca68f661435877a6d649e7ac70e68a89","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter","Eubacterium ramulus",-0.00856999700283708
"2504","ab236e1ae787ffff74baf20c0c1d2962","Bacteria","Firmicutes","Clostridia","Clostridiales","Defluviitaleaceae","Defluviitaleaceae UCG-011",NA,-0.00856924075727521
"192","0cedf7c18edcaab91622d9f21d7fe427","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 1",NA,-0.00856762652350289
"1484","68e77d9151e85cee1d8e81550d5c50b6","Bacteria","WPS-2",NA,NA,NA,NA,NA,-0.00856486969788495
"383","19bbbdb89a5227ec78fef6fb9944cdba","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter",NA,-0.00856233837950766
"3682","fa20e81fa7a4e414058c6b1f83078671","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","p-251-o5",NA,NA,-0.00856175869750419
"2688","b641f9b65c43343e2e37bcea044ca560","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41","RFP12",NA,NA,-0.00856054648494182
"949","40b637cdca83ac19825e3a0c6c769c48","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.00855871128490031
"1637","71ee64e47acb0053d4e2ea678a983c3b","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-003",NA,-0.00855604639486285
"3329","e484d8f4b1e7f7e6c750f91d3e51e445","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia",NA,-0.00855420926188829
"3299","e2c0f8aa104a87429285e58519390134","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema 2",NA,-0.00854707951896155
"1844","7ee8eaa813ebe1fdbd64662148849669","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41","RFP12",NA,NA,-0.00854193607631061
"951","40c82d16d3ab6ce099035b7ef17e8540","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41","RFP12",NA,NA,-0.00854080970606978
"691","2ed81efbea2f5e355330c0b208124e89","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium",NA,-0.00853924385047591
"2107","908b7360f20e71f386c67b5b6b40caf5","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","p-251-o5",NA,NA,-0.00853042515306811
"2658","b4668fc61c965a0c26e59bf4f304f22c","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter",NA,-0.00852787373224744
"709","304993e67f26e65cf45c23d99a69d881","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus 1",NA,-0.00851972087234045
"2428","a5cf4c6f285cf5b828021710ae9c5f25","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA,-0.00851608908722328
"2167","947c9fd6a37b4ba183de9f456ff6b22e","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA,-0.00851403910984536
"741","326cce217753fdddef47a575d60a92f0","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41","RFP12",NA,NA,-0.00851385070702453
"2328","9f2ebc40b1d743fec2327067e487008a","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-014",NA,-0.00851225165371583
"3031","ce965b81ab9ade52ed7e0b63e152a8d1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.0085108578429951
"3","00067522d178f6dc1c6c10fc641e52e1","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium",NA,-0.00851084283454112
"338","169c7ac5807bb4b2fa13d9e39ad82a8c","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-010",NA,-0.00850372911846725
"1002","44e699bfaafbd46ee15da722e1a8d5aa","Archaea","Euryarchaeota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae",NA,NA,-0.00850230388554935
"2105","907e9b9370c9fd1367ed1aeea46c1bb9","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.00850052698947144
"2859","c34b194fe9ca148ecc16294f7ef6bddd","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-014",NA,-0.00849890007258461
"943","406a31893dd0a8a58c8a9842b3f4b84a","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia",NA,-0.00849644063207437
"3218","dd1d7366e8e0ceaabbaf6be324f8e566","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.00849373251199976
"119","08166384f6cbe5317674c03bf48c13be","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae NK4A214 group",NA,-0.00849207182868161
"1222","552d5a347a66609d9406ad1f8b980d0e","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-010",NA,-0.00849159683998829
"3337","e4f7eb841ec9c362b63dd554ce8bea21","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA,-0.00849141056160633
"1596","6f07245c79d40c499bedfb77c6f0291b","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,-0.00848931156494878
"1357","60188c9322a88f6a297977a37580fbea","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus] torques group",NA,-0.00848921427064786
"2586","b035f871de22c1b263a30bc711f955dd","Bacteria","Tenericutes","Mollicutes","NED5E9",NA,NA,NA,-0.00848834190022792
"1573","6d79a5e0c1ce7eec04409f6799586228","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 2",NA,-0.0084876625142785
"1058","49333919a72ad26ac69a5e271da68abc","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium",NA,-0.0084867859413132
"3421","e959160ccd6f24cf43c1b141ca126b41","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","p-251-o5",NA,NA,-0.00848592391104507
"3098","d36134f0eeffafa2b26c3ec6a4982061","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA,-0.00848556116414283
"2782","bd3e842b19097a8e235858ffd66339da","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter",NA,-0.00848339376129471
"3526","efa3a455d4fa10d9801cf0ff895ea5bf","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","p-251-o5",NA,NA,-0.00848045340333092
"1515","6a90b890288b705cc4080f35d46766b0","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.00847974536027984
"860","3af570976b7772150893703141534a20","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Terrisporobacter",NA,-0.00847805461169285
"1958","87753e8850167acbe8e855d476e8d969","Bacteria","Elusimicrobia","Elusimicrobia","Lineage IV",NA,NA,NA,-0.00847304291928059
"3303","e2efdd4f18effa62b99beb998b54a4d7","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41","RFP12",NA,NA,-0.00847292095812921
"1743","785a4399286cde40e64f0d179af89ad3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","p-251-o5",NA,NA,-0.00846880410200398
"2344","a0470153f7c6c95fa684bebc443ba6e8","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.0084674283677837
"1487","691773fa2933c62990a719814262aa81","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales vadinBB60 group",NA,NA,-0.00846496354532347
"2518","ac584ae7405bdea6378548690143e4cf","Bacteria","Tenericutes","Mollicutes","Mollicutes RF39",NA,NA,NA,-0.00846448654910741
"648","2bc6c2926f368d3bc9b6a0ad9102f369","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae",NA,NA,-0.00846345070537099
"1729","77520d8c83e3b10fa806a48396ec3dad","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales vadinBB60 group",NA,NA,-0.00846331645709596
"3390","e7faa450062e2ec502131f78d0441042","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum",NA,-0.00846244428481596
"560","259669e76f976963ef3fa687f376096b","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus 2",NA,-0.00846062432842192
"3309","e33ebc8a0dc7e0d284de8b3c08f1da72","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,-0.00846003413640082
"3629","f6b0a9152b5da5ad68998e31e896a2d5","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema 2",NA,-0.00845189103455792
"2039","8c76a1e4f460e6161e5c4b13d60c5cfc","Bacteria","WPS-2",NA,NA,NA,NA,NA,-0.00845083939593885
"3134","d6696d9d3ed52acb20781593a510e2fd","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.00844747293606192
"3731","fd35c39e95a143cac139845a2d513f6f","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus 1",NA,-0.00844634060690512
"2440","a6ed17f0b40fa22e7eb8cef803e55e34","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,-0.00844606570459996
"535","23def64040feaba801146b7355eb17f0","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-010",NA,-0.00844497904321531
"1332","5e7205662c70df49d895020d1c7dd989","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae R-7 group",NA,-0.00843998687152643
"861","3b08175d6705906125dfa9720778c857","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 1",NA,-0.00843948074056434
"3471","ebbb5c03d2b8cd45ef48e56bb40297ec","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-014",NA,-0.00843670407825276
"82","05e34d4197397040efb8baab05b48225","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae XPB1014 group",NA,-0.00843340200192137
"3636","f712bdcd183ab707ca7759fa8a0d7d04","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41","RFP12",NA,NA,-0.00843012567165078
"228","0f57cff2fe52f0d0be9880ec212690b2","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema 2",NA,-0.00842968919136183
